指　标,Item,"1982年 “三普”
The Third  
Census in 1982","1990年“四普”
The Fourth  
Census in 1990","2000年“五普”
The Fifth  
Census in 2000","2010年“六普”
The Sixth  
Census in 2010","2020年“七普”
The Seventh  Census in 2020"
常住人口                               (万人),Resident Population                                                             (10 000 persons),527.53,564.36,679.22,1 045.99,1 274.83
  男,    Male,264.87,282.77,336.41,533.45,665.71
  女,    Female,262.66,281.59,342.82,512.54,609.12
  性别比(女性为100),    Sex Ratio  (Female = 100),100.84,100.42,98.13,104.08,109.29
家庭户规模                         (人/户),Family Size                                                                        (person/household),3.5,3.51,3.15,2.84,2.62
各年龄组人口                      (万人),Population by Age Group                                                    (10 000 persons),,,,,
  0-14岁,    Aged 0—14,126.08,105.07,97.88,96.31,172.72
  15-64岁,    Aged 15—64,367.23,413.75,516.25,860.77,943.54
  65岁及以上,    Aged 65 and Over,34.22,45.54,65.09,88.91,158.57
常住人口平均预期寿命       (岁),Average Life-span of Resident Population                                            (age) ,,,75.89,77.88,80.29
劳动适龄人口           ,Working Age Population   ,326.88,370.77,469.16,779.41,836.02
  男（16-59岁）,    Male (Aged 16—59),172.01,194.75,241.46,414.93,466.59
  女（16-54岁）,    Female (Aged 16—54),154.87,176.02,227.7,364.48,369.43
民族人口                               (万人),Population by Ethnicity                                                       (10 000 persons),,,,,
  汉  族,    Han Nationality ,527.25,563.79,677.56,1 038.70,1 262.04
  占总人口比重                           (%),    Proportion                                                                                                  (%),99.94,99.89,99.76,99.3,99
  少数民族,    Minority Nationalities,0.28,0.57,1.66,7.29,12.79
  占总人口比重                           (%),    Proportion                                                                                                  (%),0.06,0.11,0.24,0.7,1
各种受教育程度的人口   (万人),Population with Various Education Attainments          (10 000 persons),342.56,411.63,596.41,975.11,1 168.94
  小  学,    Primary School,191.98,199.25,219.89,226.64,250.05
  初  中,    Junior Secondary School,108.69,149.02,249.88,402.38,417.54
  高中、中专,    Senior Secondary School and Technical Secondary School,37.71,52.82,94.41,199.79,214.33
  大专及以上,    Junior College and Above,4.18,10.55,32.23,146.3,287.02
    #大学专科,        Junior College,,,20.32,88.49,149.93
      大学本科,        Undergraduate College,,,11.39,53.21,123
      研究生,        Graduate College,,,0.52,4.6,14.08
城乡人口            ,Population by Residence   ,,,,,
  城镇人口,    Urban Population,108.24,146.01,387.73,732.95,1 041.84
  乡村人口,    Rural Population,419.29,418.35,291.49,313.04,232.99
